kode;nama;level;issummary;defsign
"4.1.4.12.01";"Uang Pendaftaran / Ujian Masuk";4;0;1;
"4.1.4.12.02";"Uang Sekolah/Pendidikan dan Pelatihan";4;0;1;
"4.1.4.12.03";"Uang Ujian Kenaikan Tingkat/Kelas";4;0;1;
"4.1.4.13";"Pendapatan dari Angsuran/Cicilan Penjualan";3;1;1;
"4.1.4.13.01";"Angsuran/Cicilan Penjualan Rumah";4;0;1;
"4.1.4.13.02";"Angsuran/Cicilan Penjualan Kendaraan";4;0;1;
"4.1.4.14.02";"Pendapatan dari RSU Balaraja* ";4;0;1;
"4.1.4.14.03";"Pendapatan UPDB KUMKM*";4;0;1;
"4.1.4.15";"Pendapatan dari BLUD";3;1;1;
"4.1.4.15.01";"Pendapatan dari RSUD";4;0;1;
"4.1.4.15.02";"Pendapatan dari RSU Balaraja ";4;0;1;
"4.1.4.15.03";"Pendapatan UPDB KUMKM";4;0;1;
"4.1.4.16";"Lain-Lain PAD Lainnya Yang Sah";3;1;1;
"4.1.4.16.01";"Lain-Lain PAD Lainnya Yang  Sah";4;0;1;
"4.1.4.16.02";"Lain-lain PAD Lainnya yang Sah (SKPD)";4;0;1;
"4.1.4.16.03";"Restitusi Pajak Kelebihan Pembayaran";4;0;1;
"4.1.4.16.04";"Lain-lain PAD lainnya yang sah (TPP)";4;0;1;
"4.1.4.17";"Dana Kapitasi JKN ";3;1;1;
"4.1.4.17.01";"Dana Kapitasi JKN Dinas Kesehatan";4;0;1;
"4.1.4.17.02";"Dana Kapitasi JKN FKTP  Balaraja";4;0;1;
"4.1.4.17.03";"Dana Kapitasi JKN FKTP Binong";4;0;1;
"4.1.4.17.04";"Dana Kapitasi JKN FKTP Bojong Kamal";4;0;1;
"4.1.4.17.05";"Dana Kapitasi JKN FKTP Bojong Nangka";4;0;1;
"4.1.4.17.06";"Dana Kapitasi JKN FKTP Caringin ";4;0;1;
"4.1.4.17.07";"Dana Kapitasi JKN FKTP Cikupa";4;0;1;
"4.1.4.17.08";"Dana Kapitasi JKN FKTP Cikuya";4;0;1;
"4.1.4.17.09";"Dana Kapitasi JKN FKTP Cisauk";4;0;1;
"4.1.4.17.10";"Dana Kapitasi JKN FKTP Cisoka";4;0;1;
"4.1.4.17.11";"Dana Kapitasi JKN FKTP Curug";4;0;1;
"4.1.4.17.12";"Dana Kapitasi JKN FKTP Gembong";4;0;1;
"4.1.4.17.13";"Dana Kapitasi JKN FKTP Gunung Kaler";4;0;1;
"4.1.4.17.14";"Dana Kapitasi JKN FKTP Jambe";4;0;1;
"4.1.4.17.15";"Dana Kapitasi JKN FKTP Jayanti";4;0;1;
"4.1.4.17.16";"Dana Kapitasi JKN FKTP Jl. Emas";4;0;1;
"4.1.4.17.17";"Dana Kapitasi JKN FKTP Jl. Kutai";4;0;1;
"4.1.4.17.18";"Dana Kapitasi JKN FKTP Kedaung Barat";4;0;1;
"4.1.4.17.19";"Dana Kapitasi JKN FKTP Kelapa Dua";4;0;1;
"4.1.4.17.20";"Dana Kapitasi JKN FKTP Kemeri";4;0;1;
"4.1.4.17.21";"Dana Kapitasi JKN FKTP Kosambi";4;0;1;
"4.1.4.17.22";"Dana Kapitasi JKN FKTP Kresek";4;0;1;
"4.1.4.17.23";"Dana Kapitasi JKN FKTP Kronjo";4;0;1;
"4.1.4.17.24";"Dana Kapitasi JKN FKTP Kutabumi";4;0;1;
"4.1.4.17.25";"Dana Kapitasi JKN FKTP Legok";4;0;1;
"4.1.4.17.26";"Dana Kapitasi JKN FKTP Mauk";4;0;1;
"4.1.4.17.27";"Dana Kapitasi JKN FKTP Mekar Baru";4;0;1;
"4.1.4.17.28";"Dana Kapitasi JKN FKTP Pagedangan";4;0;1;
"4.1.4.17.29";"Dana Kapitasi JKN FKTP Pakuhaji";4;0;1;
"4.1.4.17.30";"Dana Kapitasi JKN FKTP Panongan";4;0;1;
"4.1.4.17.31";"Dana Kapitasi JKN FKTP Pasir Jaya";4;0;1;
"4.1.4.17.32";"Dana Kapitasi JKN FKTP Pasir Nangka";4;0;1;
"4.1.4.17.33";"Dana Kapitasi JKN FKTP Rajeg";4;0;1;
"4.1.4.17.34";"Dana Kapitasi JKN FKTP Salembaran Jaya";4;0;1;
"4.1.4.17.35";"Dana Kapitasi JKN FKTP Sepatan";4;0;1;
"4.1.4.17.36";"Dana Kapitasi JKN FKTP Sindang Jaya";4;0;1;
"4.1.4.17.37";"Dana Kapitasi JKN FKTP Sukadiri";4;0;1;
"4.1.4.17.38";"Dana Kapitasi JKN FKTP Sukamulya";4;0;1;
"4.1.4.17.39";"Dana Kapitasi JKN FKTP Sukatani";4;0;1;
"4.1.4.17.40";"Dana Kapitasi JKN FKTP Sukawali";4;0;1;
"4.1.4.17.41";"Dana Kapitasi JKN FKTP Suradita";4;0;1;
"4.1.4.17.42";"Dana Kapitasi JKN FKTP Tegal Angus";4;0;1;
"4.1.4.17.43";"Dana Kapitasi JKN FKTP Teluknaga";4;0;1;
"4.1.4.17.44";"Dana Kapitasi JKN FKTP Tigaraksa";4;0;1;
"4.2";"Dana Perimbangan";1;1;1;
"4.2.1";"Bagi Hasil Pajak / Bagi Hasil Bukan Pajak";2;1;1;
"4.2.1.01";"Bagi Hasil Pajak";3;1;1;
"4.2.1.01.01";"Bagi Hasil dari Pajak Bumi dan Bangunan / PBB";4;0;1;
"4.2.1.01.02";"Bagi Hasil Bea Perolehan Hak Atas Tanah dan Bangunan / BPHTB";4;0;1;
"4.2.1.01.03";"Bagi Hasil dari Pajak Penghasilan (PPh) Pasal 25 dan Pasal 29 Wajib Pajak Orang Pribadi Dalam Negeri dan PPh Pasal 21";4;0;1;
"4.2.1.02";"Bagi Hasil Bukan Pajak / Sumber Daya Alam";3;1;1;
"4.2.1.02.01";"Bagi Hasil dari Iuran Hak Pengusahaan Hutan";4;0;1;
"4.2.1.02.02";"Bagi Hasil dari Provisi Sumber Daya Hutan";4;0;1;
"4.2.1.02.03";"Bagi Hasil dari Dana Reboisasi";4;0;1;
"4.2.1.02.04";"Bagi Hasil dari Iuran Tetap (Land-rent)";4;0;1;
"4.2.1.02.05";"Bagi Hasil dari Iuran Eksplorasi dan Iuran Eksploitasi (Royalti)";4;0;1;
"4.2.1.02.06";"Bagi Hasil dari Pungutan Pengusahaan Perikanan";4;0;1;
"4.2.1.02.07";"Bagi Hasil dari Pungutan Hasil Perikanan";4;0;1;
"4.2.1.02.08";"Bagi Hasil dari Pertambangan Minyak Bumi";4;0;1;
"4.2.1.02.09";"Bagi Hasil dari Pertambangan Gas Bumi";4;0;1;
"4.2.1.02.10";"Bagi Hasil dari Pertambangan Panas Bumi";4;0;1;
"4.2.1.02.11";"Bagi Hasil Dari Pajak Hasil Cukai, Hasil Tembakau";4;0;1;
"4.2.1.02.12";"Bagi Hasil dari Pertambangan Umum ";4;0;1;
"4.2.2";"Dana Alokasi Umum";2;1;1;
"4.2.2.01";"Dana Alokasi  Umum";3;1;1;
"4.2.2.01.01";"Dana Alokasi   Umum";4;0;1;
"4.2.3";"Dana Alokasi Khusus";2;1;1;
"4.2.3.01";"Dana Alokasi  Khusus";3;1;1;
"4.2.3.01.01";"Dana Alokasi   Khusus";4;0;1;
"4.2.4";"Transfer Pemerintah Pusat Lainnya";2;1;1;
"4.2.4.01";"Transfer Pemerintah Pusat  Lainnya";3;1;1;
"4.2.4.01.01";" Dana Otonomi Khusus";4;0;1;
"4.2.4.01.02";"Dana Penyesuaian";4;0;1;
"4.2.4.01.03";"Dana Percepatan Pembangunan Infrastruktur Pendidikan";4;0;1;
"4.2.4.01.04";"Dana Penguatan Infrastruktur dan Prasarana Daerah";4;0;1;
"4.2.4.01.05";"Tunjangan Sertifikasi Guru";4;0;1;
"4.2.4.01.06";"Tunjangan Non Sertifikasi";4;0;1;
"4.2.4.01.07";"Transfer Kapitasi Jaminan Kesehatan";4;0;1;
"4.2.4.01.08";"Transfer Non Kapitasi Jaminan Kesehatan";4;0;1;
"4.2.4.01.09";"Bantuan Keuangan Dari Kemenkeu";4;0;1;
"4.2.4.01.10";"Transfer Dana Desa";4;0;1;
"4.3";"Lain-lain Pendapatan Daerah yang Sah";1;1;1;
"4.3.1";"Pendapatan Hibah";2;1;1;
"4.3.1.01";"Pendapatan Hibah dari Pemerintah";3;1;1;
"4.3.1.01.01";"Pemerintah";4;0;1;
"4.3.1.01.02";"Pendapatan JAMPERSAL";4;0;1;
"4.3.1.01.03";"Pendapatan JAMKESMAS";4;0;1;
"4.3.1.02";"Pendapatan Hibah dari Pemerintah Daerah Lainnya";3;1;1;
"4.3.1.02.01";"Pendapatan Hibah dari Pemerintah  Daerah  Lainnya";4;0;1;
"4.3.1.02.02";"Bantuan Hibah Finansial Reward WTP";4;0;1;
"4.3.1.03";"Pendapatan Hibah dari Badan/Lembaga/Organisasi Swasta Dalam Negeri";3;1;1;
"4.3.1.03.01";"Badan/Lembaga/Organisasi Swasta .";4;0;1;
"4.3.1.04";"Pendapatan Hibah dari Kelompok Masyarakat/Perorangan";3;1;1;
"4.3.1.04.01";"Kelompok Masyarakat/Perorangan..";4;0;1;
"4.3.1.05";"Pendapatan Hibah dari Luar Negeri";3;1;1;
"4.3.1.05.01";"Pendapatan Hibah dari Bilateral";4;0;1;
"4.3.1.05.02";"Pendapatan Hibah dari Multilateral";4;0;1;
